date,time,location,download,upload
2018-02-07,16:32,Morsø,755.89,1121.53
2018-06-06,21:22,Vesthimmerland,612.41,797.52
2018-12-02,00:05,Egedal,197.52,685.83
2018-03-17,10:40,Ishøj,2044.4,205.08
2018-09-02,08:00,Esbjerg,1139.96,1193.93
2018-10-22,01:22,Aabenraa,1545.62,1138.71
2018-08-22,04:39,Sorø,1404.0,1197.99
2018-11-09,22:44,Randers,1052.57,896.36
2018-09-22,11:43,Randers,2545.22,49.27
2018-03-25,01:17,Holbæk,2513.4,1254.96
2018-03-09,14:42,Fredericia,766.13,727.13
2018-09-03,12:45,Aabenraa,155.01,386.95
2018-05-09,15:59,Thisted,2133.5,41.57
2018-04-12,00:17,Thisted,900.89,907.47
2018-10-09,14:37,Roskilde,299.87,367.35
2018-09-21,16:28,Tårnby,1593.23,1102.53
2018-06-07,03:52,Køge,57.58,384.09
2018-10-24,15:15,Odsherred,1605.67,980.39
2018-01-22,22:48,Faxe,545.05,209.18
2018-02-05,07:01,Fredericia,613.68,229.75
2018-11-18,00:42,Fredensborg,1840.63,721.23
2018-07-09,21:04,Ballerup,351.81,527.41
2018-02-05,21:29,Frederikshavn,1048.35,588.33
2018-07-25,13:53,Ishøj,1973.86,514.02
2018-12-23,22:36,Albertslund,318.71,1087.45
2018-06-01,18:16,Norddjurs,2480.92,1227.86
2018-05-01,01:59,Dragør,193.86,620.58
2018-12-28,15:55,Frederikshavn,772.63,1143.98
2018-07-29,11:15,Kolding,1063.94,1119.17
2018-03-12,00:14,Faxe,1644.12,174.52
2018-05-23,20:01,Aarhus,2470.7,58.06
2018-07-31,06:32,Guldborgsund,1938.8,80.41
2018-04-19,10:05,Frederikssund,277.79,1063.89
2018-08-14,03:37,Skive,1159.67,996.5
2018-05-22,14:52,Vejle,1439.22,337.49
2018-12-22,22:45,Vordingborg,1107.59,605.61
2018-06-25,10:32,Ballerup,1350.61,418.73
2018-02-08,09:34,Billund,1923.06,840.12
2018-08-09,13:07,Kalundborg,375.85,1095.34
2018-10-22,13:26,Syddjurs,11.05,1028.12
2018-11-10,00:15,Fredensborg,230.38,461.15
2018-03-28,03:20,Lolland,176.52,852.31
2018-05-04,23:09,Helsingør,1869.58,182.94
2018-06-22,21:12,Randers,1129.01,866.91
2018-10-30,11:41,Tårnby,449.23,979.22
2018-06-18,01:49,Hillerød,2519.8,833.65
2018-04-02,07:32,Svendborg,2128.21,895.38
2018-03-21,18:32,Frederiksberg,1184.32,901.26
2018-02-20,14:02,Holstebro,938.19,409.23
2018-11-03,23:43,Ishøj,1690.24,892.91
2018-09-07,11:08,Vejle,1840.01,921.68
2018-12-11,16:16,Slagelse,677.78,173.18
2018-02-03,12:02,Holstebro,343.16,994.04
2018-03-13,08:52,Syddjurs,1346.71,81.85
2018-12-28,16:29,Ballerup,1177.36,1182.7
2018-08-19,23:23,Randers,1766.94,206.6
2018-07-30,18:30,Gribskov,2505.48,740.92
2018-07-08,08:28,Copenhagen,1156.36,564.27
2018-08-20,11:52,Lyngby-Taarbæk,2004.05,602.77
2018-11-02,08:34,Nyborg,788.43,773.26
2018-03-18,11:40,Stevns,356.24,371.63
2018-11-15,08:45,Halsnæs,1607.91,1200.08
2018-10-27,19:45,Vallensbæk,390.87,73.72
2018-03-03,20:59,Haderslev,1255.03,996.4
2018-02-03,09:30,Fanø,1720.9,408.19
2018-10-07,10:51,Læsø,1894.16,180.36
2018-03-28,10:51,Ballerup,712.42,531.27
2018-03-01,07:18,Tårnby,1480.27,0.25
2018-05-12,05:41,Randers,1477.44,747.75
2018-12-25,07:39,Hjørring,1312.31,702.97
2018-06-22,15:19,Aarhus,1245.14,579.75
2018-02-08,12:01,Rudersdal,1571.3,375.28
2018-04-20,09:17,Vejle,2149.09,358.49
2018-08-22,06:04,Hedensted,908.15,492.43
2018-05-16,16:39,Lemvig,1164.54,533.7
2018-10-01,11:40,Skive,385.43,1209.5
2018-07-07,22:14,Læsø,2140.78,591.89
2018-09-09,00:20,Ikast-Brande,1652.58,92.0
2018-02-01,20:11,Kalundborg,1278.55,379.98
2018-02-10,10:46,Slagelse,974.43,279.01
2018-07-30,21:54,Middelfart,1026.9,379.18
2018-07-07,18:51,Hvidovre,2250.5,264.01
2018-04-05,19:54,Fredericia,758.27,72.33
2018-02-08,05:21,Middelfart,2274.31,536.09
2018-01-11,04:24,Svendborg,2177.5,160.43
2018-04-01,16:13,Glostrup,580.94,1248.8
2018-05-27,05:50,Hjørring,1815.87,407.3
2018-03-01,09:27,Holstebro,2483.8,714.27
2018-10-22,02:04,Sønderborg,2558.16,981.74
2018-05-20,00:45,Vejen,230.12,252.62
2018-11-17,19:27,Egedal,2486.49,460.47
2018-03-14,09:36,Silkeborg,1091.75,231.47
2018-02-11,12:55,Greve,1481.92,96.64
2018-02-16,03:20,Nordfyn,907.0,642.04
2018-02-02,05:05,Lemvig,1737.04,539.08
2018-08-19,15:24,Frederiksberg,706.34,436.5
2018-05-06,10:16,Sønderborg,2141.05,121.22
2018-12-14,19:46,Hjørring,631.58,426.76
2018-07-30,11:59,Tårnby,2291.21,342.74
2018-08-20,02:38,Kerteminde,1851.83,281.05
2018-09-19,10:21,Silkeborg,1827.3,716.25
2018-01-30,19:07,Vejen,646.08,345.99
2018-06-20,17:34,Køge,169.07,281.59
2018-05-01,16:39,Norddjurs,2481.36,256.71
2018-05-17,04:49,Tårnby,29.41,1029.97
2018-05-08,04:37,Samsø,637.75,637.08
2018-04-04,03:34,Høje-Taastrup,2225.62,1118.89
2018-05-26,16:50,Esbjerg,1737.31,1087.24
2018-11-05,15:39,Roskilde,897.33,40.13
2018-09-24,10:11,Rødovre,1322.83,857.69
2018-08-03,19:11,Copenhagen,574.09,109.07
2018-06-18,22:34,Fredericia,1736.46,819.67
2018-09-17,16:40,Ikast-Brande,2163.49,343.7
2018-11-02,19:50,Aabenraa,2334.83,219.79
2018-07-02,00:20,Tønder,1714.81,576.15
2018-12-21,10:44,Samsø,1915.08,691.54
2018-10-18,09:59,Gentofte,1659.39,773.51
2018-12-05,05:03,Kolding,23.19,141.17
2018-07-04,17:25,Varde,166.43,835.62
2018-09-13,16:52,Randers,737.22,122.42
2018-06-27,04:58,Ringsted,2038.84,895.69
2018-07-16,02:27,Frederikshavn,682.45,971.12
2018-11-14,13:03,Vesthimmerland,2294.25,940.11
2018-10-12,04:19,Varde,236.46,217.57
2018-01-06,09:36,Syddjurs,219.19,990.78
2018-09-16,15:30,Lemvig,1451.45,409.15
2018-08-04,14:44,Næstved,1433.4,987.84
2018-08-14,09:04,Billund,1305.91,627.31
2018-04-30,12:44,Varde,2067.57,1131.21
2018-08-09,04:42,Hedensted,575.11,807.13
2018-10-22,07:40,Skive,821.56,777.79
2018-03-22,20:04,Fanø,2095.88,1191.65
2018-01-19,21:35,Allerød,207.06,437.27
2018-05-18,15:46,Brøndby,1798.94,86.36
2018-11-04,04:17,Vesthimmerland,1530.05,657.83
2018-04-08,04:42,Nordfyn,359.99,321.39
2018-10-08,17:26,Lyngby-Taarbæk,2338.0,164.98
2018-08-02,11:06,Hillerød,1628.17,654.87
2018-04-12,15:31,Kalundborg,463.82,884.09
2018-08-31,19:43,Syddjurs,896.19,291.4
2018-07-09,11:16,Frederikssund,1877.84,1166.65
2018-03-06,00:12,Vejen,1641.8,1266.82
2018-03-19,00:54,Mariagerfjord,2107.35,782.01
2018-09-07,03:46,Glostrup,1878.81,199.7
2018-02-26,08:30,Morsø,317.84,685.88
2018-07-23,01:57,Slagelse,410.02,1231.92
2018-11-07,12:55,Varde,2234.25,885.22
2018-04-04,04:23,Frederikshavn,1165.81,504.4
2018-03-06,08:14,Lemvig,1868.23,847.46
2018-05-17,11:51,Guldborgsund,2156.8,103.57
2018-07-24,02:00,Vesthimmerland,795.66,34.3
2018-07-08,23:06,Lejre,1757.03,390.65
2018-06-02,16:57,Herlev,788.72,410.83
2018-04-17,10:30,Billund,1778.12,1245.49
2018-11-13,14:13,Vejen,1618.1,1095.67
2018-01-15,23:48,Næstved,537.59,852.18
2018-04-18,01:43,Thisted,744.28,943.09
2018-01-20,01:56,Ikast-Brande,1017.47,1043.71
2018-10-03,22:19,Stevns,2070.16,978.77
2018-10-02,09:55,Esbjerg,1484.47,89.46
2018-06-09,12:46,Guldborgsund,1960.01,1060.02
2018-07-14,21:02,Fanø,1517.28,61.21
2018-02-14,03:24,Faaborg-Midtfyn,1084.7,1035.49
2018-08-11,17:27,Gentofte,1659.11,674.22
2018-10-04,23:17,Furesø,1474.26,200.01
2018-01-12,06:04,Holbæk,1340.29,921.91
2018-06-06,11:21,Ringkøbing-Skjern,2340.24,1034.29
2018-04-22,09:21,Faxe,2007.65,594.98
2018-08-07,14:42,Roskilde,2366.95,772.14
2018-05-16,11:11,Halsnæs,1486.68,906.57
